Item,Unlock Cost,Sell Price,Material Cost,Time To Craft/s,Used For
Copper Wire,Free,10K,5 Copper Bar,60,"Battery (2), Circuit (10), Rover (10)"
Iron Nails,20K,20K,5 Iron Bar,120,"Hammer (2), Telescope 3 (10), Colonization Scouting (15), Preferred Vendor (200)"
Battery,50K,70K,"2 Copper Wire, 10 Copper Bar",240,"Advanced Battery (30), Resource Details (3), Ore Targeting (50), Rover Advanced Logistics (20), Advanced Mining (5)"
Hammer,100K,135K,"2 Iron Nails, 5 Lead Bar",480,"Motor (200), Telescope 4 (5), Market Insight (10), Ore Targeting (100), Colonization Efficiency (10), Colony Renegotiation (400), Advanced Cargo Handling (5), Preferred Vendor (75)"
Glass,200K,220K,10 Silicon Bar,720,"Lens (1), Solar Panel (10), Thermal Scanner (5), Advanced Thrusters (2), Advanced Furnace (3)"
Circuit,400K,620K,"5 Silicon Bar, 5 Aluminum Bar, 10 Copper Wire",1200,"Basic Computer (5), Solar Panel (5), Asteroid Harvester (5), Cargo Logistics (3), Telescope 5 (3), Contract Manager (20), Advanced Alloy Value (3), Preferred Vendor (40)"
Lens,1M,1.1M,"1 Glass, 5 Silver Bar",2400,"Laser (1), Laser Torch (5), Telescope (20), Inside Trader (10), Alchemy (6), Rover Advanced Logistics (10), Advanced Crafter (5), Advanced Item Value (1)"
Laser,2M,3.2M,"5 Gold Bar, 1 Lens, 10 Iron Bar",3600,"Laser Torch (2), Thermal Scanner (2), Telescope 6 (3), Colonization Advanced Efficiency (10), Superior Alloy Value (30)"
Basic Computer,5M,7.60M,"5 Circuit, 5 Silver Bar",4800,"Advanced Computer (5), Market Manipulation (10), Advanced Ore Targeting (100), Advanced Alchemy (6), Rover Scanning Module (1), Advanced Rover Resupply (1), Contract Manager (20), Smelting Specialist (5)"
Solar Panel,10M,12.5M,"5 Circuit, 10 Glass",6000,"Space Probe (20), Asteroid Auto Miner (100), Rover Resupply (1), Telescope 7 (3), Crafting Efficiency (40)"
Laser Torch,20M,31M,"5 Bronze Bar, 2 Laser, 5 Lens",7200,"Navigation Module (2), Plasma Torch (5), Rover Resupply (1), Manager Training (1), Telescope 8 (3), Colonization Superior Efficiency (15), Superior Mining (10), Superior Crafting (20), Superior Item Value (25)"
